Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
1116/DEL/2009 A ,01/06/2009,01/01/2010,A FLEXIBLE ASYNCHRONOUS AC LINK (FASAL) SYSTEM , 1)DR.MOHAMMAD SYED JAMIL ASGHAR  ,"DEPARTMENT OF ELECTRICAL ENGINEERING, ALIGARH MUSLIM UNIVERSITY, ALIGARH-202002, UP, INDIA  2)IMDADULLAH ", 1)DR.MOHAMMAD SYED JAMIL ASGHAR 2)IMDADULLAH ,"In the present invention a new flexible ac power transmission link technology has been developed for two asynchronous independent power systems. The flexible asynchronous ac link system abbreviated as FASAL system is a freely rotating rotating-transformer based power transmission or tie line system. It is a doubly fed freely rotating rotating- transformer which is realised by a free-running wound rotor induction machine. It is put in tie line which is in between two separate power systems. It controls the power transfer between these power systems which are asynchronous under some or all operating conditions. In this scheme the power flow is controlled by varying the frequency and / or voltage. Both power systems are here magnetically linked and electrically isolated. In case of a fault on either side of tie line or FASAL system, the effect of fault remains localized being electrically isolated due to magnetic coupling only. Thus it does not drain large power towards fault location or fault side from the healthy power system. Therefore, at the fault condition it gives sufficient cution period for switch-gear to act and isolate the faulty power system. Hence, it prevents the collapse of even a heavily loaded healthy power system or grid.  ",14
1066/DEL/2009 A ,25/05/2009,01/01/2010,"""A PROCESS FOR THE PREPARATIN OF A COMPOSITON USEFUL FOR TREATMENT IN CHRONIC RESPIRATORY DISORDERS"" ", 1)MAROZHUKAYIL JOSEPH JOSE  ,"65-C, POCKET J & K, DILSHAD GARDEN, DELHI-110095, INDIA. ", 1)MAROZHUKAYIL JOSEPH JOSE ,"A composition useful for treatment in chronic respiratory disorders such as cold, cough, allergic, asthma, whooping cough, throat infection comprising Piper nigrum, Piper longum, Elettaria cardamomum, Potassium Carbonate, (Chavarkaram), Manayola, Gurh, Cinnamomum zeylanicum, Vitis vinifera, Alpinia galanga / Alpinia calcarata, Eugenia caryophyllaea, Kaemferia galanga / Curcuma Zedoaria rose, Curcuma longa in the ratio of 0.5-3.0 0.5-3.0 0.0 - 0.50 0.30 0.50 0.25 - 0.50 8.0 - 24.0 0.0 - 1.0 1.0 - 3.50 1.0 - 3.50 0.5-3.0 2.0 - 6.0 2.0 - 5.0. ",12
1067/DEL/2009 A ,25/05/2009,01/01/2010,"""A COMPOSITION USEFUL FOR THE TREATMENT IN CHRONIC RESPIRATORY DISORDERS"" ", 1)MAROZHUKAYIL JOSEPH JOSE  ,"65-C, POCKET J & K, DILSHAD GARDEN, DELHI-110095, INDIA. ", 1)MAROZHUKAYIL JOSEPH JOSE ,"A composition useful for treatment in chronic respiratory disorders such as cold cough, allergic, asthma, whooping cough, throat infection comprising; Mustard Oil, Piper longum, Eugenia caryophyllaea, Kaemferia galanga / Curcuma, Zedoaria rose are taken in a proportionate ratio. ",9
2507/DEL/2008 A ,05/11/2008,01/01/2010,"ULTRA LOW POWER, SINGLE EDGE TRIGGERED D-FLIP/FLOP (STATIC AND DYNAMIC) WITH REDUCED TRANSISTORS ", 1)SATISH CHANDRA TIWARI  ,"BLOCK-H, H.NO-11, KUNWAR SINGH NAGAR, NEAR NELOTHI MORE, NANGLOI DELHI-110041 India 2)KUNWAR SINGH ", 1)MANOJ SHARMA 2)KUNWAR SINGH 3)SATISH CHANDRA TIWARI ,"A static Master - Slave D-flip Flop is described with minimum transistor count. The circuit includes a master circuit consisting of a single clocked switch and a slave circuit consisting of another clocked switch. There is a feedback loop where two inversions occur in the forward path and a switch is connected in the backward path. Reducing the transistor count leads to lower parasitic capacitance in the circuit hence lesser dynamic power dissipation per clock period. The CLK-Q delay is optimized so that the circuit operates at high speed. Advantageously, the flip-flop is constructed using only ten transistors (including an invertor to produce complementary clock signals locally). As an additional feature, the flip-flop can be SET and RESET asynchronously using only two extra transistors. ",14
2513/DEL/2008 A ,06/11/2008,01/01/2010,IMPROVED PROCESS FOR THE SYNTHESIS OF PARA-NITROBENZYL BROMIDE , 1)COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH  ,"ANUSANDHAN BHAWAN, RAFI MARG, NEW DELHI-110 001,INDIA ", 1)MANOJ KUNJABIHARI AGRAWAL 2)PUSHPITO KUMAR GHOSH 3)MAHESHKUMAR RAMNIKLAL GANDHI 4)SUMESH CHANDRA UPADHYAY 5)SUBBARAYAPPA ADIMURTHY 6)GADDE RAMCHANDRAIAH 7)PARESH U.PATOLIYA 8)GIRDHAR JOSHI 9)HARSHAD BRAHMBHATT 10)RAHUL JASVANTRAI SANGHAVI ,"An improved process for the preparation of p-nitrobenzyl bromide from p-nitrotoluene is disclosed wherein large excess of the reactant in carbon tetrachloride is treated with 21 bromide-bromate reagent and the product is isolated efficiently and with high purity through selective cold crystallization from reaction mass so as to allow the mother liquor to be recycled in a subsequent batch without any further work up. The cycles are continued so long as product of desired quality is obtained in adequate yield. Thereafter, the solvent and p-nitrotoluene are recovered from the mother liquor and the residue is treated with sodium borohydride to convert impurities back into reactant or product which is then recycled in the process thereby circumventing the problem of waste disposal and simultaneously yielding the desired product with >95 % yield with respect to p-nitrotoluene and >88 % bromine atom efficiency. ",27
1212/DEL/2009 A ,12/06/2009,01/01/2010,A BROAD SPECTRUM POLYHERBAL FORMULATION FOR THE TREATMENT OF ALLOPECIA AND CHRONIC SKIN DISORDERS , 1)MANISH SAXENA  ,"B-10/7449, VASANT KUNJ NEW DELHI-110070 INDIA ", 1)MANISH SAXENA ,"The present invention relates to a polyherbal composition for the treatment of alopecia and chronic skin disorders in humans and animals. The composition comprises Azadirachta indica, Berberis aristata, Curcuma longa, Glycrrhiza glabra, Jasminum officianale, Pongamia glabra, Trichosanthus diocia, Picrrohiza kurroa, Rubia cordifolia, Prunus puddum, Saussrea lappa, Terminalia chebula, Symploccus cratagoides, Hemedesmus indicus, black pepper, Stellata wild. It also contains natural oils such as celastrus oil, sesame oil, mustard oil, olive oil. It also relates to a process of preparing these herbal compositions. ",13
477/DEL/2009 A ,12/03/2009,01/01/2010,"""AN ULTRA FILTRATION MEMBRANE CARTRIDGE AND A GRAVITY WATER PURIFIER INCORPORATED THEREOF "" ", 1)MAHESH GUPTA  ,"H-35, SOUTH EXTENSION, PART-1, NEW DELHI-110049, INDIA. ", 1)MAHESH GUPTA ,The present invention relates to provide an ultra filtration membrane cartridge having an encapsulated housing for the ultra filtration membrane and a water purifier which produces drinkable water at a sufficient flow rate by suitably placing the said ultra filtration membrane cartridge in a water purifier.  ,33
2080/MUM/2009 A ,10/09/2009,01/01/2010,AN ELECTRIC MOTOR WITH TWO ROTATING COMPONENTS , 1)SALIM SULEMAN MAJID  ,"Q-404, 4TH FLOOR, OLD NASEMAND COLONY, MUMBRA KAVASA, DISTRICT-THANE-400612, MAHARASHTRA, INDIA. ", 1)SALIM SULEMAN MAJID ,"An electric motor with two rotating component characterizeThe internal component and external component rotate in different directions because they freely connected to the support system. The internal component and external component rotate at equal speeds because their mass are almost equal. By installing a gear or reel pulley on the internal component and installing a gear or pulley on the external component mechanical utilization can be achieved to active machineries. Compared to Faraday""s motor, an electrical motor with two rotating components is characterized by the feature that the rotation of the external component 2 of the motor can be utilized, and is therefore more cost effective. Either component may be temporarily stopped by the brake its rotating (for factory manufacturing requirements) while the other component continues operating. An electric motor with two rotating components invention can be applied in a number of industrial areas to operate stationery plant machineries and mobile machineries. ",12
2095/MUM/2009 A ,14/09/2009,01/01/2010,GYROSCOPE AMUSEMENT RIDE , 1)ARIHANT INDUSTRIAL CORPORATION LIMITED  ,"ARIHANT COMPLEX, OPP. SAGAR PETROL PUMP, WESTERN EXPRESS HIGHWAY NO. 8, SATIVALI, VASAI (EAST)-401208, DIST. THANE, MAHARASHTRA, INDIA. ", 1)RAJEN SHAH ,"The present invention discloses a gyroscopic device to be ridden by a human rider comprisingsupporting structure; a ring assembly comprising inner ring and outer ring, the outer ring being rotatably mounted about a first axis on said supporting structure, the inner ring being rotatably mounted about a second axis in the outer ring such that the rotation of outer ring causes the rotation of inner ring; a seat to be occupied by the rider of the gyroscopic device, the seat being mounted on a inner ring such that center of gravity of said seat is imbalanced; and driving mechanism for driving said outer ring, wherein the rotation of said outer ring causes rotation of inner ring and as the said set on a inner ring is mounted in a position that shift center of the gravity of inner ring, the person sitting on the seat starts rotating randomly in different planes, which gives him a thrill of experiencing weightlessness using the principle of the gyroscope. ",16
2199/MUM/2009 A ,22/09/2009,01/01/2010,THERMAL OVERLOAD MOTOR PROTECTOR , 1)THAKKAR AMIT NAVINCHANDRA  ,"KRISHNA HOUSE 203, 1ST FLOOR, SHAILESH UDYOG NAGAR, VASAI, THANE- 401 208, MAHARASHTRA, INDIA ", 1)THAKKAR AMIT NAVINCHANDRA ,A thermal overload motor protector 100 shown below in figure 1 is disclosed wherein the problem of low calibration accuracy is removed by providing a support plate 26 in the housing 12. As a result a simple and efficient thermal over load protector having high calibration accuracy and high rigidity during calibration is achieved. ,26
